event_id,event_name,venue,event_type,event_category,sport_or_category,date,start_time,end_time,start,end,attendance,attendance_source,source,competition,round,home_team,away_team,home_score,away_score,year,month,day,day_of_week,start_hour,end_hour,is_weekend,source_url,notes
59,Cricket: Australia v Pakistan,Sydney Cricket Ground,cricket,sport,cricket,2019-11-03,,,,,,,Cricsheet,Pakistan tour of Australia,T20,Australia,Pakistan,,,2019,11,3,Sunday,,,1,https://cricsheet.org/downloads/t20s_json.zip,Cricsheet JSON file: 1183527.json; attendance not provided
60,Jpdosski,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,Concert Archives,,,,,,,2019,11,22,Friday,,,0,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
61,Noel Gallagher’s High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,setlist.fm,,,,,,,2019,11,22,Friday,,,0,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html?page=2,setlist.fm SCG listing; attendance usually unavailable
62,U2,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,setlist.fm,,,,,,,2019,11,22,Friday,,,0,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html?page=2,setlist.fm SCG listing; attendance usually unavailable
63,U2 / Noel Gallagher's High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-22,,,,,,,Concert Archives,,,,,,,2019,11,22,Friday,,,0,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
64,John Waters,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,Concert Archives,,,,,,,2019,11,23,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
65,Noel Gallagher’s High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,setlist.fm,,,,,,,2019,11,23,Saturday,,,1,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm SCG listing; attendance usually unavailable
66,U2,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,setlist.fm,,,,,,,2019,11,23,Saturday,,,1,https://www.setlist.fm/venue/sydney-cricket-ground-sydney-australia-63d626d7.html,setlist.fm SCG listing; attendance usually unavailable
67,U2 / Noel Gallagher's High Flying Birds,Sydney Cricket Ground,concert,concert,concert/performance,2019-11-23,,,,,,,Concert Archives,,,,,,,2019,11,23,Saturday,,,1,https://www.concertarchives.org/venues/sydney-cricket-ground,Concert Archives SCG listing
68,Cricket: Sydney Sixers v Perth Scorchers,Sydney Cricket Ground,cricket,sport,cricket,2019-12-18,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Perth Scorchers,,,2019,12,18,Wednesday,,,0,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1195574.json; attendance not provided
69,Cricket: Sydney Sixers v Brisbane Heat,Sydney Cricket Ground,cricket,sport,cricket,2019-12-22,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Brisbane Heat,,,2019,12,22,Sunday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1195581.json; attendance not provided
70,Cricket: Sydney Sixers v Sydney Thunder,Sydney Cricket Ground,cricket,sport,cricket,2019-12-28,,,,,,,Cricsheet,Big Bash League,T20,Sydney Sixers,Sydney Thunder,,,2019,12,28,Saturday,,,1,https://cricsheet.org/downloads/bbl_json.zip,Cricsheet JSON file: 1195586.json; attendance not provided
